bgg_id,name
3213,Series: Double Blind (GDW)
3216,Series: Age of Muskets (Bellica Third Generation)
3217,Game: Battlecards (DG Associates)
3226,Game: Blue Moon
3227,Series: Pocket Battle Games (LPS)
3228,Series: Civil War Campaign (Clash of Arms Games)
3229,Series: Eagles of the Empire (Avalanche Press)
3230,Series: Wars of the Imperial Age (Decision Games)
3231,Magazine: Strategy & Tactics
3239,Series: The Italian Campaign (Strategy and Tactics)
3240,Series: Forgotten Axis (Decision Games)
3244,Magazine: World at War
3245,Series: States of Siege
3246,Game: Squad Leader
3247,Series: Lightning (Dan Verssen)
3248,Game: Rebels & Redcoats
3252,Series: Napoleonic Brigade (MMP)
3253,Game: The Great Battles of Alexander
3254,Series: Naval Battles
3255,Series: The Ironclads (Yaquinto)
3256,Series: Battles of the Ancient World (Decision Game)
3258,Series: The Sniper (SPI)
3259,Series: Ancient Wars (Strategy and Tactics)
3262,Series: South Mountain System (West End Games)
3266,Series: Royalists & Roundheads System (3W)
3267,Series: Great Medieval Battles System (SPI)
3268,Series: Leader (DVG)
3273,Game: Cry Havoc System
3274,Series: King Arthur (Wotan Games)
3276,Series: General (Frontline)
3277,Series: Field Commander (DVG)
3278,Game: Up Front
3279,Game: Coloretto
3323,Series: Westwar System (John Schettler)
3326,Series: Chitpull (Avalanche Press)
3327,Series: Great Battles of History (Columbia Games)
3336,Series: The Battles and Leaders (Richard Berg)
3337,Series: Operational System (GMT)
3351,Game: Space Hulk
3385,Game: Blokus
3400,Series: Fantasy Flight Silver Line
3430,Game: Pandemic
3431,Game: Alhambra
3827,Series: Wrzesień 1939 (Dragon / Taktyka i Strategia)
3829,Game: PitchCar
3833,Series: Blue Games (Descartes)
3838,Series: ... in my Pocket
3853,Series: Tin Games Series Mini-Spiel (HABA)
3854,Game: Ingenious
3862,Game: BANG!
3864,Game: Ghost Stories
3865,Game: Agricola
3866,Series: Harvest (Uwe Rosenberg)
3867,Game: Ra
3868,Game: Small World
3878,Game: Duel in the Dark
3975,Game: Killer Bunnies
4023,Traditional Games: Backgammon
4024,Traditional Games: Chess
4049,Traditional Games: Tafl
4050,Game: Advanced Squad Leader Starter Kit
4053,Mechanism: Hunt
4055,Traditional Games: Petteia
4086,Series: English Civil War (TCS)
4087,Series: Battles of the Middle Ages (TCS)
4134,Series: Bonsai Game (daVinci)
4214,Traditional Games: Pachisi / Ludo
4218,Series: Risk-Like
